Id;Phase;Prozessname;Inhaltsbereich;Prozessbeteiligte;Ebene;Vorgaenger;Nachfolger
304;Ausführung;Gewährleistungsverzeichnis erstellen;Termine;PM, PS, AIF, RA;4;;
108;Projektabschluss;Terminfortschreibung;Termine;;2;104;
357;Projektabschluss;Terminverfolgung;Termine;;3;;
358;Projektabschluss;Rahmenterminplan fortschreiben;Termine;PM, PS, AIF;4;;
359;Projektabschluss;Generalterminplan fortschreiben;Termine;PM, PS, AIF;4;;
360;Projektabschluss;Detail-/ Steuerungsterminplan fortschreiben;Termine;PM, PS, AIF;4;;
109;Projektabschluss;Abnahme;Termine;;3;105;
361;Projektabschluss;Gewährleistungsverzeichnis prüfen;Termine;PM, PS, AIF;4;;
362;Projektabschluss;Inbetriebnahme planen;Termine;PM, PS, AIF;4;;
110;Projektabschluss;Abnahme fristgerecht durchführen;Termine;PL, AG, AIF, aF, B, P, Of;4;107;111
111;Projektabschluss;Ggf. Termine zur Mängelbeseitigung steuern;Termine;PM, PS, AIF;4;110;
363;Projektabschluss;Übergabe durchführen;Termine;AG, N, P, Of, AIF, I;4;;
364;Projektabschluss;Bauwerk in Betrieb nehmen;Termine;AG, N, P, Of;4;;
112;Projektvorbereitung;Beschreibung der Leistung;Leistung;;2;25;119,131
113;Projektvorbereitung;Nutzerbedarfsprogramm;Leistung;;3;29;116
114;Projektvorbereitung;Nutzerbedarf ermitteln;Leistung;AG, PL, I, AIF, N, Of, P;4;32;239
239;Projektvorbereitung;Raum- oder Funktionsprogramm aufstellen;Leistung;AIF;4;114;115,163
115;Projektvorbereitung;Realisierbare Qualitäten definieren;Leistung;PL, PS, AIF;4;239;117
163;Projektvorbereitung;Realisierbare Quantitäten definieren;Leistung;PL, PS, AIF;4;239;164
116;Projektvorbereitung;Leistungsdefinition;Leistung;;3;113;120,132
117;Projektvorbereitung;Qualitäten modifizieren/optimieren;Leistung;PL, PS, PM, AIF, AG;4;115;118
128;Projektvorbereitung;Quantitäten modifizieren/optimieren;Leistung;PL, PS, PM, AIF, AG;4;163;118
118;Projektvorbereitung;Bau-Soll formulieren;Leistung;AG, AIF, PL, SV;4;117,164;240
240;Projektvorbereitung;Vorplanung erarbeiten;Leistung;AG, AIF, PL, SV;4;118;121,133
40;Planung;Projektcontrolling;MMD, Kosten, Termine, Leistung, Projektorganisation;;2;112;122
41;Planung;Kostenkontrolle;Kosten, MMD;;3;37;44
42;Planung;Kostenrahmen u. -schätzung prüfen;Kosten, MMD;PM, PS, AIF;4;39;45
216;Planung;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
217;Planung;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF;4;;
218;Planung;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF, BER, Ba, SV;4;;
219;Planung;Kostenschätzung u. -berechnung prüfen;Kosten, MMD;PM, PS, AIF;4;;
220;Planung;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
221;Planung;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF;4;;
222;Planung;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF, BER, Ba, SV;4;;
80;Planung;Terminkontrolle;Termine, MMD;;3;76;83
81;Planung;Rahmenterminplanversionen prüfen;Termine, MMD;PM, PS, AIF;4;78;84
228;Planung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PM, PS, AIF;4;;
229;Planung;Terminprognosen erstellen;Termine, MMD;PM, PS, AIF;4;;
230;Planung;Terminrisiken analysieren;Termine, MMD;PM, PS, AIF, BER, SV;4;;
231;Planung;Generalterminplanversionen prüfen;Termine, MMD;PM, PS, AIF;4;;
232;Planung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PM, PS, AIF;4;;
233;Planung;Terminprognosen erstellen;Termine, MMD;PM, PS, AIF;4;;
234;Planung;Terminrisiken analysieren;Termine, MMD;PM, PS, AIF, BER, SV;4;;
120;Planung;Leistungskontrolle;Leistung, MMD;;3;116;123
121;Planung;Ergebnisse der Entwurfsplanung prüfen;Leistung, MMD;PM, PS, AIF;4;118;124
247;Planung;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PM, PS, AIF;4;;
248;Planung;Prognosen erstellen;Leistung, MMD;PM, PS, AIF;4;;
249;Planung;Risiken analysieren;Leistung, MMD;PM, PS, AIF, BER, SV;4;;
250;Planung;Projektsteuerung;MMD, Kosten, Termine, Leistung, Projektorganisation;;3;;
251;Planung;Auf Abweichungen prüfen;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF;4;;
252;Planung;Geeignete Maßnahmen identifizieren;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF, BER, SV, RA, Ba;4;;
253;Planung;Ausgewählte Maßnahmen ergreifen;MMD, Kosten, Termine, Leistung, Projektorganisation;AG, PL, PM;4;;
43;Ausführungsvorbereitung;Projektcontrolling;MMD, Kosten, Termine, Leistung, Projektorganisation;;2;40;46
44;Ausführungsvorbereitung;Kostenkontrolle;Kosten, MMD;;3;41;47
45;Ausführungsvorbereitung;Kostenberechnung u. -anschlag I prüfen;Kosten, MMD;PM, PS, AIF;4;42;48
264;Ausführungsvorbereitung;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
265;Ausführungsvorbereitung;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF;4;;
266;Ausführungsvorbereitung;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF, BER, SV, Ba;4;;
267;Ausführungsvorbereitung;Kostenanschlag I und II prüfen;Kosten, MMD;PM, PS, AIF;4;;
268;Ausführungsvorbereitung;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
269;Ausführungsvorbereitung;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF;4;;
270;Ausführungsvorbereitung;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF, BER, SV, Ba;4;;
83;Ausführungsvorbereitung;Terminkontrolle;Termine, MMD;;3;80;86
84;Ausführungsvorbereitung;Rahmenterminplanversionen prüfen;Termine, MMD;PM, PS, AIF, aF;4;81;87
271;Ausführungsvorbereitung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PM, PS, AIF;4;;
272;Ausführungsvorbereitung;Terminprognosen erstellen;Termine, MMD;PM, PS, AIF, aF;4;;
273;Ausführungsvorbereitung;Terminrisiken analysieren;Termine, MMD;PM, PS, AIF, BER, SV;4;;
82;Ausführungsvorbereitung;Generalterminplanversionen prüfen;Termine, MMD;PM, PS, AIF, aF;4;;
274;Ausführungsvorbereitung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PM, PS, AIF;4;;
275;Ausführungsvorbereitung;Terminprognosen erstellen;Termine, MMD;PM, PS, AIF, aF;4;;
276;Ausführungsvorbereitung;Terminrisiken analysieren;Termine, MMD;PM, PS, AIF, BER, SV;4;;
122;Ausführungsvorbereitung;Detail-/ Strg.sterminplanversionen prüfen;Termine, MMD;PM, PS, AIF, aF;4;;
277;Ausführungsvorbereitung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PM, PS, AIF;4;;
278;Ausführungsvorbereitung;Terminprognosen erstellen;Termine, MMD;PM, PS, AIF, aF;4;;
279;Ausführungsvorbereitung;Terminrisiken analysieren;Termine, MMD;PM, PS, AIF, BER, SV;4;;
123;Ausführungsvorbereitung;Leistungskontrolle;Leistung, MMD;;3;120;126
124;Ausführungsvorbereitung;Ergebnisse der Ausführungsplanung prüfen;Leistung, MMD;PM, PS, AIF;4;121;127
280;Ausführungsvorbereitung;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PM, PS, AIF;4;;
281;Ausführungsvorbereitung;Prognosen erstellen;Leistung, MMD;PM, PS, AIF;4;;
282;Ausführungsvorbereitung;Risiken analysieren;Leistung, MMD;PM, PS, AIF, BER, SV;4;;
283;Ausführungsvorbereitung;Leistungsbeschreibung prüfen;Leistung, MMD;PM, PS, AIF;4;;
284;Ausführungsvorbereitung;Leistungsverzeichnis prüfen;Leistung, MMD;PM, PS, AIF;4;;
285;Ausführungsvorbereitung;Projektsteuerung;MMD, Kosten, Termine, Leistung, Projektorganisation;;3;;
286;Ausführungsvorbereitung;Auf Abweichungen prüfen;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF;4;;
287;Ausführungsvorbereitung;Geeignete Maßnahmen identifizieren;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF, BER, SV, RA, Ba;4;;
288;Ausführungsvorbereitung;Ausgewählte Maßnahmen ergreifen;MMD, Kosten, Termine, Leistung, Projektorganisation;AG, PL, PM;4;;
46;Ausführung;Projektcontrolling;MMD, Kosten, Termine, Leistung, Projektorganisation;;2;43;49
47;Ausführung;Kostenkontrolle;Kosten, MMD;;3;44;50
48;Ausführung;Kostenanschlag und Leistungsstand prüfen;Kosten, MMD;PM, PS, AIF;4;45;51
85;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
125;Ausführung;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF;4;;
308;Ausführung;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF;4;;
309;Ausführung;Leistungsstand und Budget prüfen;Kosten, MMD;PM, PS, AIF;4;;
310;Ausführung;Nachträge prüfen;Kosten, MMD;PM, PS, AIF;4;;
311;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
312;Ausführung;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF, BER;4;;
313;Ausführung;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF;4;;
314;Ausführung;Leistungsstand und Budget prüfen;Kosten, MMD;PM, PS, AIF;4;;
86;Ausführung;Terminkontrolle;Termine, MMD;;3;82;88
87;Ausführung;Rahmenterminplanversionen prüfen;Termine, MMD;PL, PM, PS;4;83;89
315;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PS, PM;4;84;90
316;Ausführung;Terminprognosen erstellen;Termine, MMD;PL, PM, PS;4;;
317;Ausführung;Terminrisiken analysieren;Termine, MMD;PL, PM, PS, BER, SV;4;;
318;Ausführung;Generalterminplanversionen prüfen;Termine, MMD;PL, PM, PS;4;;
319;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PS, PM;4;;
320;Ausführung;Terminprognosen erstellen;Termine, MMD;PL, PM, PS;4;;
321;Ausführung;Terminrisiken analysieren;Termine, MMD;PL, PM, PS, BER, SV;4;;
322;Ausführung;Detail-/ Strg.sterminplanversionen prüfen;Termine, MMD;PL, PM, PS;4;;
323;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Termine, MMD;PS, PM;4;;
324;Ausführung;Terminprognosen erstellen;Termine, MMD;PL, PM, PS;4;;
325;Ausführung;Terminrisiken analysieren;Termine, MMD;PL, PM, PS, BER, SV;4;;
126;Ausführung;Leistungskontrolle;Leistung, MMD;;3;122;128
127;Ausführung;Vertragsleistung und Leistungsstand prüfen;Leistung, MMD;AG, PL, AIF;4;123;129
326;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PS, PM, AIF;4;124;130
327;Ausführung;Prognosen erstellen;Leistung, MMD;PL, PM, PS, AIF;4;;
328;Ausführung;Risiken analysieren;Leistung, MMD;PL, PM, PS, AIF, BER, SV;4;;
329;Ausführung;Nachträge prüfen;Leistung, MMD;AG, PL, AIF;4;;
330;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PS, PM, AIF;4;;
331;Ausführung;Prognosen erstellen;Leistung, MMD;PL, PM, PS, AIF;4;;
332;Ausführung;Risiken analysieren;Leistung, MMD;PL, PM, PS, AIF, BER, SV;4;;
333;Ausführung;Auf Mängel prüfen;Leistung, MMD;AG, PL, AIF;4;;
334;Ausführung;Soll-Ist-Wird-Vergleiche durchführen;Leistung, MMD;PS, PM, AIF;4;;
335;Ausführung;Prognosen erstellen;Leistung, MMD;PL, PM, PS, AIF;4;;
336;Ausführung;Risiken analysieren;Leistung, MMD;PL, PM, PS, AIF, BER, SV;4;;
337;Ausführung;Projektsteuerung;MMD, Kosten, Termine, Leistung, Projektorganisation;;3;;
338;Ausführung;Auf Abweichungen prüfen;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF;4;;
339;Ausführung;Geeignete Maßnahmen identifizieren;MMD, Kosten, Termine, Leistung, Projektorganisation;PM, PS, AIF, BER, SV, RA, Ba;4;;
340;Ausführung;Ausgewählte Maßnahmen ergreifen;MMD, Kosten, Termine, Leistung, Projektorganisation;AG, PL, PM;4;;
49;Projektabschluss;Projektcontrolling;MMD, Kosten, Termine, Leistung, Projektorganisation;;2;46;
50;Projektabschluss;Kostenkontrolle;Kosten, MMD;;3;47;
51;Projektabschluss;Kostenanschlag und Leistungsstand prüfen;Kosten, MMD;PM, PS, AIF;4;48;
374;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
375;Projektabschluss;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF;4;;
376;Projektabschluss;Kostenrisiken analysieren;Kosten, MMD;PM, PS, AIF, BER, SV, Ba;4;;
377;Projektabschluss;Leistungsstand und Budget prüfen;Kosten, MMD;PM, PS, AIF;4;;
378;Projektabschluss;Nachträge prüfen;Kosten, MMD;PM, PS, AIF;4;;
379;Projektabschluss;Soll-Ist-Wird-Vergleiche durchführen;Kosten, MMD;PM, PS, AIF;4;;
380;Projektabschluss;Kostenprognosen erstellen;Kosten, MMD;PM, PS, AIF;4;;
